auth_user.id,auth_user.first_name,auth_user.last_name,auth_user.email,auth_user.username,auth_user.password,auth_user.registration_key,auth_user.reset_password_key,auth_user.registration_id
1,Bob,Johnson,bobbyjohn@gmail.com,bobjohnson,bobjohnson,,,
2,Ted,Whitrock,teddywhit@gmail.com,tedwhitrock,tedwhitrock,,,
3,A,B,AB@gmail.com,studentAB,studentAB,,,
4,C,D,CD@gmail.com,studentCD,studentCD,,,
5,E,F,EF@gmail.com,studentEF,studentEF,,,
6,G,H,GH@gmail.com,studentGH,studentGH,,,
7,I,J,IJ@gmail.com,studentIJ,studentIJ,,,
8,K,L,KL@gmail.com,studentKL,studentKL,,,
9,M,N,MN@gmail.com,studentMN,studentMN,,,
10,O,P,OP@gmail.com,studentOP,studentOP,,,
11,Q,R,QR@gmail.com,studentQR,studentQR,,,
12,S,T,ST@gmail.com,studentST,studentST,,,
